title,artist,year,spotify
1 Nacht,Roxy Dekker & Koen,2025,https://open.spotify.com/track/2dUJ0xW4XC89CC6gD7mjwi
Guilty Pleasure,Roxy Dekker & Russo,2025,https://open.spotify.com/track/2TXDgE4nZbwdbfAW7Tr6Ll
Over Datum,Roxy Dekker,2025,https://open.spotify.com/track/4KCbrGjAVjAN6ZmvHtcDtX
Jouw Idee,Roxy Dekker,2025,https://open.spotify.com/track/6u9MrPWzCXj0pQjuglCyqy
Loser,Roxy Dekker,2025,https://open.spotify.com/track/6SxPeeIm0exX9vXLZMZn2J
Cool,Roxy Dekker,2025,https://open.spotify.com/track/7p1HMiOlr5YSldteisHWZe
Down 4 Whatever,Roxy Dekker,2025,https://open.spotify.com/track/0Y2jYeRtebUMr21kZwK2Fi
GO BESTFRIEND,Roxy Dekker,2025,https://open.spotify.com/track/6sv1PdrGSGgWYzFqC5mruo
Baila de Gasolina,Effe Serieus,2025,https://open.spotify.com/track/43TPlT0l0HXLtKUOUoY3gY
Pasapas,Kinderen voor Kinderen,2019,https://open.spotify.com/track/7G7xDVo2PIUOJVipYbe3bV
Ola ole olee,Kinderen voor Kinderen,2026,https://open.spotify.com/track/0Ul3G0uGWfI2qPYjVVv4ix
Automatisch,FLEMMING,2022,https://open.spotify.com/track/6mMVJJkpzL5r9OyqX7VzBk
